match,team,player_name,player_id,player_position_value,player_position_info,player_rating,good_high_claim,touches,saves,total_pass,formation_place,accurate_pass,aerial_won,aerial_lost,fouls,total_scoring_att,total_tackle,won_contest,penalty_conceded,blocked_scoring_att,man_of_the_match,goals,att_pen_goal,goal_assist,six_yard_block,yellow_card,error_lead_to_goal,post_scoring_att,second_yellow,red_card,clearance_off_line,own_goals,last_man_tackle,att_pen_target,penalty_save,att_pen_miss,att_pen_post
1190418,166,Jonas Lössl,131171,1,GK,6.61,2,39,4,28,1,11,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,166,Terence Kongolo,109117,2,DC,6.19,,30,,20,4,16,1,,,,,,,,,,,,,,,,,,,,,,,,
1190418,166,Chris Löwe,101664,2,DL,5.96,,38,,15,3,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
1190418,166,Zanka,29026,2,DC,6.65,,44,,28,6,27,1,,1,,3,,,,,,,,,,,,,,,,,,,,
1190418,166,Christopher Schindler,132360,2,DC,6.58,,46,,27,5,21,4,,,,2,,,,,,,,,,,,,,,,,,,,
1190418,166,Florent Hadergjonaj,136896,2,DR,6.33,,54,,27,2,15,,,,,,3,,,,,,,,,,,,,,,,,,,
1190418,166,Philip Billing,145277,3,MC,5.61,,44,,30,11,26,1,2,1,,2,,1,,,,,,,,,,,,,,,,,,
1190418,166,Aaron Mooy,318153,3,MC,5.95,,47,,36,7,27,,,,,1,1,,,,,,,,,,,,,,,,,,,
1190418,166,Jonathan Hogg,82593,3,MC,5.92,,53,,43,8,31,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,
1190418,166,Laurent Depoitre,106880,4,FW,6.18,,40,,25,10,14,6,8,,1,,,,,,,,,,,,,,,,,,,,,
1190418,166,Steve Mounie,135259,4,FW,5.84,,16,,9,9,6,1,2,2,,,,,,,,,,,,,,,,,,,,,,
1190418,166,Tommy Smith,135837,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,166,Collin Quaner,90996,5,Sub,5.99,,13,,10,0,7,,,1,,1,,,,,,,,,,,,,,,,,,,,
1190418,166,Rajiv van La Parra,42947,5,Sub,6.03,,9,,5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,166,Michael Hefele,104035,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,166,Joel Coleman,135179,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,166,Alex Pritchard,107848,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,166,Tom Ince,90918,5,Sub,6.12,,12,,5,0,3,,1,1,3,1,,,2,,,,,,,,,,,,,,,,,
1190418,26,Loris Karius,107176,1,GK,7.1,1,41,1,33,1,28,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,26,Joseph Gomez,136451,2,DR,7.22,,119,,103,2,94,3,3,,,2,,,,,,,,,,,,,,,,,,,,
1190418,26,Joel Matip,74341,2,DC,7.7,,171,,161,5,154,1,1,1,,1,,,,,,,,,,,,,,,,,,,,
1190418,26,Andrew Robertson,115726,2,DL,6.56,,111,,90,3,76,,1,,1,,,,1,,,,,,,,,,,,,,,,,
1190418,26,Dejan Lovren,29106,2,DC,8.04,,156,,139,6,130,7,4,,,2,,,,,,,,,,,,,,,,,,,,
1190418,26,Jordan Henderson,68659,3,MC,7.04,,97,,88,4,76,,,,,2,,,,,,,,,,,,,,,,,,,,
1190418,26,Emre Can,111212,3,MC,9.05,,102,,87,7,79,2,,,3,,,,1,1,1,,,,,,,,,,,,,,,
1190418,26,James Milner,4511,3,MC,7.56,,103,,79,8,68,,1,2,1,2,1,,,,,,,,,,,,,,,,,,,
1190418,26,Mohamed Salah,108226,4,FWR,7.38,,54,,38,10,30,1,1,,3,,3,,1,,1,1,,,,,,,,,,,,,,
1190418,26,Sadio Mané,109915,4,FWL,7.26,,72,,52,11,42,1,3,1,4,2,1,,1,,,,1,,,,,,,,,,,,,
1190418,26,Roberto Firmino,96182,4,FW,8.1,,53,,40,9,30,,1,3,2,2,1,,,,1,,,,,,,,,,,,,,,
1190418,26,Danny Ings,91762,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,26,Virgil van Dijk,95408,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,26,Dominic Solanke,136459,5,Sub,6.07,,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,
1190418,26,Trent Alexander-Arnold,318871,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,26,Georginio Wijnaldum,33568,5,Sub,6.02,,2,,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,26,Simon Mignolet,52197,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190418,26,Alex Oxlade Chamberlain,84146,5,Sub,6.02,,2,,1,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,
1190424,211,Mat Ryan,81523,1,GK,7.39,,44,6,30,1,15,1,,,,,,,,,,,,,,,,,,,,,,,,
1190424,211,Lewis Dunk,86441,2,DC,7.78,,73,,50,6,41,7,3,2,,6,,,,,,,,,,,,,,,,,,,,
1190424,211,Ezequiel Schelotto,79442,2,DR,7.21,,53,,28,2,26,2,,1,,2,2,,,,,,,,,,,,,,,,,,,
1190424,211,Markus Suttner,33477,2,DL,6.59,,54,,28,3,21,4,1,,,1,1,,,,,,,,,,,,,,,,,,,
1190424,211,Shane Duffy,75692,2,DC,7.11,,60,,43,5,37,3,2,,1,,,,1,,,,,1,,,,,,,,,,,,
1190424,211,José Izquierdo,243548,3,ML,8.25,,51,,25,11,21,,2,1,5,5,2,,,,,,2,,,,,,,,,,,,,
1190424,211,Davy Pröpper,77429,3,MC,6.54,,44,,32,8,27,2,,2,1,3,1,,1,,,,,,1,,,,,,,,,,,
1190424,211,Dale Stephens,24238,3,MC,6.78,,52,,41,4,33,1,1,3,,1,,,,,,,,,,,,,,,,,,,,
1190424,211,Anthony Knockaert,86794,3,MR,7.87,,60,,30,7,24,,,1,4,2,4,,2,,1,,,1,,,,,,,,,,,,
1190424,211,Pascal Groß,71824,4,AMC,7.25,,59,,42,10,31,,1,,1,1,,,1,,,,,,,,,,,,,,,,,
1190424,211,Glenn Murray,21427,4,FW,8.18,,54,,38,9,20,4,4,3,3,1,2,,1,,1,,,,1,,,,,,,,,,,
1190424,211,Tim Krul,22319,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190424,211,Connor Goldson,134258,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190424,211,Tomer Hemed,28981,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190424,211,Bruno,23957,5,Sub,6.07,,7,,5,0,3,1,1,,,1,,,,,,,,,,,,,,,,,,,,
1190424,211,Isaiah Brown,127119,5,Sub,5.98,,2,,2,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,
1190424,211,Solly March,122926,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190424,211,Beram Kayal,33318,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190424,183,Asmir Begovic,23122,1,GK,7.02,,32,4,20,1,8,,,,,,,,,,,,,,,,,,,,,,,,,
1190424,183,Adam Smith,69877,2,DR,7.57,,61,,34,2,30,,2,1,1,1,4,,1,,,,1,,,,,,,,,,,,,
1190424,183,Simon Francis,9298,2,DC,6.3,,73,,49,5,37,6,5,1,1,1,1,,1,,,,,1,1,1,,,,,,,,,,
1190424,183,Charlie Daniels,24827,2,DL,6.7,,72,,46,3,42,1,,,3,,1,,2,,,,,,,,,,,,,,,,,
1190424,183,Steve Cook,68662,2,DC,8.49,,67,,38,6,31,4,2,1,1,,,,,,1,,,,,,,,,,,,,,,
1190424,183,Jordon Ibe,105797,3,MR,8.64,,68,,33,7,28,,1,2,7,,5,,4,1,,,1,,,,1,,,,,,,,,
1190424,183,Harry Arter,67807,3,MC,6.26,,57,,50,8,45,1,,,1,1,,,1,,,,,,,,,,,,,,,,,
1190424,183,Marc Pugh,14000,3,ML,5.87,,39,,28,11,23,,,1,3,1,,,1,,,,,,,,,,,,,,,,,
1190424,183,Lewis Cook,136456,3,MC,6.97,,69,,48,4,37,,1,,2,2,3,,,,,,,,,,,,,,,,,,,
1190424,183,Callum Wilson,134115,4,FW,7.76,,30,,12,9,9,,5,,5,,1,,1,,1,,,,,,,,,,,,,,,
1190424,183,Benik Afobe,93647,4,FW,6.14,,24,,16,10,12,1,6,,,,,,,,,,,,,,,,,,,,,,,
1190424,183,Nathan Aké,122945,5,Sub,6.09,,14,,14,0,14,,1,,,,,,,,,,,,,,,,,,,,,,,
1190424,183,Jack Simpson,302862,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190424,183,Lys Mousset,296332,5,Sub,6.47,,17,,5,0,4,2,2,1,1,,2,,1,,,,,,,,,,,,,,,,,
1190424,183,Andrew Surman,13447,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190424,183,Matt Butcher,300771,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190424,183,Dan Gosling,13846,5,Sub,6.36,,12,,10,0,9,1,,2,1,,,,1,,,,,,,,,,,,,,,,,
1190424,183,Artur Boruc,14111,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190342,15,Thibaut Courtois,73798,1,GK,6.67,,38,1,31,1,19,,,,,,,,,,,,,,,,,,,,,,,,,
1190342,15,Gary Cahill,11981,2,DC,6.5,,15,,12,5,11,,,,,1,,,,,,,,,,,,,,,,,,,,
1190342,15,César Azpilicueta,25931,2,DC,6.74,,93,,76,6,66,,2,1,,1,,,,,,,,,,,,,,,,,,,,
1190342,15,Antonio Rüdiger,104010,2,DC,6.28,,69,,52,4,49,1,4,1,,1,,,,,,,,,,,,,,,,,,,,
1190342,15,Tiemoué Bakayoko,135211,3,MC,6.96,,62,,49,8,41,2,2,3,3,2,1,,1,,,,,,,,,,,,,,,,,
1190342,15,Victor Moses,33064,3,DMR,6.97,,72,,41,2,34,2,3,1,3,1,3,,1,,,,,,,,,,,,,,,,,
1190342,15,Marcos Alonso,84008,3,DML,6.88,,58,,41,3,33,1,2,,2,1,1,,1,,,,,,,,,,,,,,,,,
1190342,15,N'Golo Kanté,114075,3,MC,6.94,,78,,63,11,60,1,2,3,2,2,,,1,,,,,,1,,,,,,,,,,,
1190342,15,Cesc Fàbregas,8040,3,MC,6.81,,50,,39,7,30,,,,2,1,,,,,,,,,,,,,,,,,,,,
1190342,15,Eden Hazard,33404,4,AMC,7.36,,41,,27,10,17,,,,1,,6,,,,,,,,,,,,,,,,,,,
1190342,15,Álvaro Morata,91213,4,FW,6.46,,30,,17,9,11,1,1,4,,1,2,,,,,,,,1,,,,,,,,,,,
1190342,15,Willy Caballero,34749,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190342,15,David Luiz,27586,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190342,15,Willian,29463,5,Sub,6.89,,29,,13,0,12,,1,,1,2,1,,,,,,,,,,,,,,,,,,,
1190342,15,Pedro,44055,5,Sub,6.54,,28,,18,0,17,,,,3,,1,,2,,,,,,,,,,,,,,,,,
1190342,15,Michy Batshuayi,97803,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190342,15,Davide Zappacosta,141312,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190342,15,Andreas Christensen,130331,5,Sub,6.8,,37,,29,0,26,3,1,1,,,,,,,,,,,,,,,,,,,,,,
1190342,14,Kasper Schmeichel,19545,1,GK,8.7,3,53,7,31,1,19,2,,,,,,,,1,,,,,,,,,,,,,,,,
1190342,14,Harry Maguire,99487,2,DC,7.05,,54,,45,6,37,2,,2,,1,,,,,,,,,,,,,,,,,,,,
1190342,14,Ben Chilwell,299272,2,DL,6.05,,62,,46,3,40,2,2,2,,1,2,,,,,,,,,,,1,1,,,,,,,
1190342,14,Daniel Amartey,243552,2,DR,6.65,,69,,50,2,41,1,,,,,1,,,,,,,,,,,,,,,,,,,
1190342,14,Aleksandar Dragovic,40560,2,DC,7.12,,33,,25,5,25,1,2,1,1,1,1,,1,,,,,1,,,,,,,,,,,,
1190342,14,Wilfred Ndidi,327683,3,MC,7.94,,82,,56,4,48,1,1,1,1,5,2,,,,,,,,,,,,,,,,,,,
1190342,14,Riyad Mahrez,104749,3,MR,7.44,,73,,40,7,30,,,1,2,1,7,,1,,,,,,,,,,,,,,,,,
1190342,14,Marc Albrighton,42147,3,ML,6.59,,34,,20,11,14,,,1,2,1,1,,1,,,,,,,,,,,,,,,,,
1190342,14,Matty James,75198,3,MC,7.08,,62,,49,8,40,,1,2,1,1,2,,1,,,,,,1,,,,,,,,,,,
1190342,14,Jamie Vardy,106981,4,FW,7.21,,33,,17,9,10,5,2,1,4,1,1,,1,,,,,,,,,,,,,,,,,
1190342,14,Shinji Okazaki,26222,4,AMC,7.16,,45,,26,10,18,2,3,1,3,3,4,,2,,,,,1,1,,,,,,,,,,,
1190342,14,Islam Slimani,108055,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190342,14,Kelechi Iheanacho,289253,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190342,14,Demarai Gray,136945,5,Sub,6.04,,4,,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
1190342,14,Christian Fuchs,12431,5,Sub,6.32,,9,,6,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,
1190342,14,Ben Hamer,29832,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190342,14,Vicente Iborra,34052,5,Sub,6.02,,1,,1,0,1,,,1,,,,,,,,,,,,,,,,,,,,,,
1190342,14,Yohan Benalouane,29574,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190356,26,Simon Mignolet,52197,1,GK,7.67,,36,4,27,1,22,,,,,,,,,,,,,,,,,,,,,,,,,
1190356,26,Andrew Robertson,115726,2,DL,7.21,,58,,41,3,39,1,,,1,2,,,,,,,,,,,,,,,,,,,,
1190356,26,Trent Alexander-Arnold,318871,2,DR,9.21,,81,,52,2,45,1,1,2,1,4,4,,,,1,,,,,,,,,,,,,,,
1190356,26,Ragnar Klavan,10839,2,DC,7.48,,105,,98,6,91,1,1,,,,,,,,,,,,,,,,,,,,,,,
1190356,26,Joel Matip,74341,2,DC,7.27,,108,,101,5,97,2,,,,2,,,,,,,,,,,,,,,,,,,,
1190356,26,Emre Can,111212,3,MC,7.9,,85,,72,4,65,2,2,,1,6,,,,,,,,,,,,,,,,,,,,
1190356,26,Georginio Wijnaldum,33568,3,MC,8.06,,61,,48,8,45,,3,,,1,5,,,,,,,,,,,,,,,,,,,
1190356,26,Alex Oxlade Chamberlain,84146,3,MC,8.02,,58,,38,7,31,,,1,3,1,2,,1,,1,,,,,,,,,,,,,,,
1190356,26,Philippe Coutinho,80767,4,FWL,9.86,,62,,41,11,28,,1,,4,1,5,,3,1,1,,1,,,,,,,,,,,,,
1190356,26,Roberto Firmino,96182,4,FW,9.37,,42,,26,9,18,,1,2,4,2,2,,,,2,,,,,,,,,,,,,,,
1190356,26,Mohamed Salah,108226,4,FWR,8.43,,31,,17,10,15,,1,,4,,3,,1,,,,2,,,,,,,,,,,,,
1190356,26,Loris Karius,107176,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190356,26,Sadio Mané,109915,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190356,26,Dominic Solanke,136459,5,Sub,6.51,,13,,8,0,8,1,1,,2,,1,,,,,,,,,,,,,,,,,,,
1190356,26,James Milner,4511,5,Sub,6.25,,14,,10,0,8,,,,,1,,,,,,,,,,,,,,,,,,,,
1190356,26,Joseph Gomez,136451,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190356,26,Dejan Lovren,29106,5,Sub,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1190356,26,Adam Lallana,21683,5,Sub,6.58,,30,,22,0,18,,1,,2,,2,,1,,,,,1,,,,,,,,,,,,
1190356,259,Lukasz Fabianski,20973,1,GK,6.09,1,49,4,39,1,25,,,,,,,,,,,,,,,,,,,,,,,,,
1190356,259,Kyle Naughton,34131,2,DR,5.67,,76,,50,2,41,,,1,,2,1,,,,,,,,,,,,,,,,,,,
1190356,259,Martin Olsson,33748,2,DL,5.36,,56,,37,3,31,1,,1,,1,,,,,,,,,1,,,,,,,,,,,
1190356,259,Alfie Mawson,135727,2,DC,5.89,,58,,49,6,45,2,1,,1,,1,,,,,,,,,,,,,,,,,,,
1190356,259,Federico Fernández,44847,2,DC,6.48,,70,,55,5,52,1,,1,,,,,,,,,,,,,,,,,,,,,,
1190356,259,Tom Carroll,90907,3,MC,5.97,,63,,54,8,44,1,,1,,,,,,,,,,,,,,,,,,,,,,
1190356,259,Jordan Ayew,67491,3,ML,5.34,,66,,38,11,34,2,1,,2,1,3,,,,,,,,,1,,,,,,,,,,
1190356,259,Roque Mesa,108176,3,MC,5.88,,61,,53,10,49,,,1,,4,,,,,,,,,,,,,,,,,,,,
